,data_point,test_time,date_time,step_time,step_index,cycle_index,current,voltage,charge_capacity,discharge_capacity,charge_energy,discharge_energy,_dv/dt,internal_resistance,temperature,aux_voltage,date_time_iso,time_since_cycle_start
0,0,60.00650024414063,1535503232.0,60.00650024414063,0,0,0.0,3.2976741790771484,0.0,0.0,0.0,0.0,,,21.017749786376957,,2018-08-29T00:40:32+00:00,0.0
100,100,6060.00048828125,1535509248.0,6060.00048828125,0,0,0.0,3.299727439880371,0.0,0.0,0.0,0.0,-2.8610229e-06,,29.941139221191406,,2018-08-29T02:20:48+00:00,100.26666666666668
200,200,10974.408203125,1535514240.0,174.32899475097656,1,0,-1.0997695922851562,3.232860565185547,1.4861421e-09,0.053176239,4.9036908e-09,0.17242193,-3.9100647e-05,,29.58771705627441,,2018-08-29T03:44:00+00:00,183.46666666666667
300,300,11975.4013671875,1535515136.0,1175.3218994140625,1,0,-1.1000165939331057,3.1316823959350586,1.4861421e-09,0.35903439,4.9036908e-09,1.148129,-0.00015544891,,29.63688468933105,,2018-08-29T03:58:56+00:00,198.4
400,400,12368.904296875,1535515520.0,1568.824462890625,1,0,-1.0999383926391602,2.228468894958496,1.4861421e-09,0.47904003,4.9036908e-09,1.5057858,-0.051693916,,29.590442657470703,,2018-08-29T04:05:20+00:00,204.8
500,500,13089.6826171875,1535516288.0,0.0766000002622604,3,0,0.6021614074707031,2.077383041381836,6.3776685e-07,0.49246243,1.3091179e-06,1.5328323,0.0072164536,,29.561132431030277,,2018-08-29T04:18:08+00:00,217.6
600,600,13218.625,1535516416.0,0.1280000060796737,4,0,1.2512588500976562,3.390401840209961,0.22002876,0.49246243,0.7411024,1.5328323,0.00052833557,,29.659500122070312,,2018-08-29T04:20:16+00:00,219.7333333333333
700,700,13625.1142578125,1535516800.0,136.02810668945312,6,0,3.930694580078125,3.520589828491211,0.80826288,0.49246243,2.809346,1.5328323,0.00031757355,,30.030447006225582,,2018-08-29T04:26:40+00:00,226.13333333333333
800,800,14097.271484375,1535517312.0,401.3294067382813,8,0,1.1000967025756836,3.48940372467041,1.0025744,0.49246243,3.4844854,1.5328323,0.00058269501,,29.94600486755371,,2018-08-29T04:35:12+00:00,234.66666666666663
900,900,14598.541015625,1535517824.0,902.5985717773438,8,0,0.1384564340114593,3.600003242492676,1.0661997,0.49246243,3.7114899,1.5328323,1.1444092e-05,,29.78040313720703,,2018-08-29T04:43:44+00:00,243.2
1000,1000,15065.3037109375,1535518208.0,0.164000004529953,10,0,-1.1439828872680664,3.572861671447754,1.0763226,0.49247059,3.7479324,1.5328616,-0.0061178207,,29.653343200683597,,2018-08-29T04:50:08+00:00,249.6
1100,1100,15427.21875,1535518592.0,362.0790100097656,10,0,-4.400049209594727,3.1198034286499023,1.0763226,0.93464357,3.7479324,2.932507,-0.00028324127,,29.87828063964844,,2018-08-29T04:56:32+00:00,256.0
1200,1200,15897.83984375,1535519104.0,832.7001953125,10,0,-4.399966716766357,2.7510480880737305,1.0763226,1.5098156,3.7479324,4.6740384,-0.0059585571,,30.097492218017575,,2018-08-29T05:05:04+00:00,264.53333333333336
1300,1300,16058.3662109375,1535519232.0,993.2257080078124,10,0,-0.2683145701885223,2.0000362396240234,1.0763226,1.5645804,3.7479324,4.8074217,3.528595e-05,,30.107067108154297,,2018-08-29T05:07:12+00:00,266.6666666666667
1400,1400,16279.1123046875,1535519488.0,12.49530029296875,3,1,6.160678863525391,3.113780975341797,0.020914741,0.0,0.061882146,0.0,0.017624855,,30.133712768554688,,2018-08-29T05:11:28+00:00,0.0
1500,1500,16596.78125,1535519744.0,80.94550323486328,5,1,5.281513214111328,3.5070581436157227,0.55837303,0.0,1.9223273,0.0,0.0002450943,,30.31453895568848,,2018-08-29T05:15:44+00:00,4.266666666666667
